,im_paths,id_str,ra,dec,petro_theta,est_petro_th50,petro_th50,petro_th90,gini,category,hec_path,m20
61,E:/GZ-DESI/images/major-dist\104061_3701-cutout.fits,104061_3701,355.5644698774229,-43.43910010158679,,3.0791638391590888,,,0.24334515944335447,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104061_3701-cutout.fits,-1.596363525482803
62,E:/GZ-DESI/images/major-dist\104065_4542-cutout.fits,104065_4542,357.224919389972,-43.431142337753286,,2.1718789209667633,,,0.3025230379561971,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104065_4542-cutout.fits,-1.5958511204073318
63,E:/GZ-DESI/images/major-dist\104076_2645-cutout.fits,104076_2645,0.9263857975137891,-43.24830069997999,,2.774733283357574,,,0.4468981475599362,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104076_2645-cutout.fits,-1.810024733235287
64,E:/GZ-DESI/images/major-dist\104102_257-cutout.fits,104102_257,9.785758582271844,-43.35034095543393,,2.4302338433161106,,,0.3184195911191908,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104102_257-cutout.fits,-1.6252466423645104
65,E:/GZ-DESI/images/major-dist\104109_2102-cutout.fits,104109_2102,12.120967788871413,-43.23055216338778,,3.0921131565358633,,,0.41697262779340244,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104109_2102-cutout.fits,-1.8780892307722534
66,E:/GZ-DESI/images/major-dist\104136_890-cutout.fits,104136_890,21.298442295396377,-43.32202643483455,,1.9080432217885663,,,0.37083401915100717,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104136_890-cutout.fits,-1.2336969343222726
67,E:/GZ-DESI/images/major-dist\104171_2051-cutout.fits,104171_2051,33.24434691993443,-43.24827806998428,,2.6724156744635823,,,0.4506928398161848,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104171_2051-cutout.fits,-1.7185791918594395
68,E:/GZ-DESI/images/major-dist\104258_2209-cutout.fits,104258_2209,63.2677809597637,-43.25290499901443,,3.3508778164234263,,,0.3942626246471854,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104258_2209-cutout.fits,-1.660745344257197
69,E:/GZ-DESI/images/major-dist\104287_1502-cutout.fits,104287_1502,73.18439978893025,-43.3050673673776,,1.7952457439632497,,,0.46104871933973146,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104287_1502-cutout.fits,-1.7228993906731518
70,E:/GZ-DESI/images/major-dist\104314_1980-cutout.fits,104314_1980,82.31016822998706,-43.269601454353456,,1.66559622694896,,,0.4686321079291198,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104314_1980-cutout.fits,-1.5835142419402688
71,E:/GZ-DESI/images/major-dist\104351_1545-cutout.fits,104351_1545,94.961069949748,-43.31400410407629,,3.2448013195901217,,,0.47244953520035887,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104351_1545-cutout.fits,-1.8712015209225439
72,E:/GZ-DESI/images/major-dist\104986_2004-cutout.fits,104986_2004,312.15353667612226,-43.28338819958803,,6.210744062067536,,,0.5370795024404785,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104986_2004-cutout.fits,-0.5931242544518205
73,E:/GZ-DESI/images/major-dist\104995_2562-cutout.fits,104995_2562,315.2805334584268,-43.275915470868036,,4.160514513233496,,,0.3307689602666727,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104995_2562-cutout.fits,-1.2054771627526746
74,E:/GZ-DESI/images/major-dist\104999_4053-cutout.fits,104999_4053,316.66185027647145,-43.21153950415216,,1.8112962381826996,,,0.3976944558871642,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104999_4053-cutout.fits,-1.4877993337479787
75,E:/GZ-DESI/images/major-dist\105013_6483-cutout.fits,105013_6483,321.5798506074636,-43.14502152780944,,1.707161002188018,,,0.42839368792995397,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105013_6483-cutout.fits,-1.70352153881225
76,E:/GZ-DESI/images/major-dist\105032_1978-cutout.fits,105032_1978,327.9748469792745,-43.30236862291086,,2.2320176982460254,,,0.2945622910294988,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105032_1978-cutout.fits,-1.4579756637518
77,E:/GZ-DESI/images/major-dist\105073_3014-cutout.fits,105073_3014,342.1308056390731,-43.21816555186488,,2.4209084895362296,,,0.34302068027683086,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105073_3014-cutout.fits,-1.5393118300460833
78,E:/GZ-DESI/images/major-dist\105077_337-cutout.fits,105077_337,343.42687799185563,-43.349084141897926,,2.8281373881900853,,,0.25524196348613737,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105077_337-cutout.fits,-1.1494506043349388
79,E:/GZ-DESI/images/major-dist\105083_2887-cutout.fits,105083_2887,345.4605783732979,-43.23920216132472,,3.926094336903789,,,0.33468972868931185,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105083_2887-cutout.fits,-1.5562915535930366
80,E:/GZ-DESI/images/major-dist\105090_5179-cutout.fits,105090_5179,348.0039657088985,-43.1706517934994,,2.355055855056964,,,0.2981650399204107,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105090_5179-cutout.fits,-1.4553466735293727
81,E:/GZ-DESI/images/major-dist\105104_2354-cutout.fits,105104_2354,352.81226950693116,-43.27676708638298,,2.284014201431368,,,0.4016516669892881,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105104_2354-cutout.fits,-1.3366938052037554
82,E:/GZ-DESI/images/major-dist\105105_883-cutout.fits,105105_883,353.037350552838,-43.328336773498876,,1.443034643262194,,,0.3778462403050593,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105105_883-cutout.fits,-1.5745039416725548
83,E:/GZ-DESI/images/major-dist\105121_288-cutout.fits,105121_288,358.34616385879684,-43.35934773782133,,3.7261781423661033,,,0.3078710894573116,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105121_288-cutout.fits,-1.4851745188223007
84,E:/GZ-DESI/images/major-dist\105130_5164-cutout.fits,105130_5164,1.5221902901775497,-42.889055513808344,,2.1301821208386262,,,0.3004793988823154,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105130_5164-cutout.fits,-1.3873590395998745
85,E:/GZ-DESI/images/major-dist\105217_5196-cutout.fits,105217_5196,31.219822888915854,-42.89010103757907,,1.7219367178969325,,,0.44027208455106204,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105217_5196-cutout.fits,-1.6465117552717867
86,E:/GZ-DESI/images/major-dist\105233_3182-cutout.fits,105233_3182,36.673790470128225,-42.879208111736034,,3.0768214883795104,,,0.42054724314388303,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105233_3182-cutout.fits,-1.8603365897078472
87,E:/GZ-DESI/images/major-dist\105266_1023-cutout.fits,105266_1023,47.78930771188266,-43.06576373667141,,1.9009139358166491,,,0.31385195493156204,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105266_1023-cutout.fits,-1.4902986206336752
88,E:/GZ-DESI/images/major-dist\105279_888-cutout.fits,105279_888,52.19452682651118,-43.084317398028546,,7.608066188084352,,,0.6929349778789088,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105279_888-cutout.fits,-1.6999140659679879
89,E:/GZ-DESI/images/major-dist\105279_892-cutout.fits,105279_892,52.19217706013296,-43.082208856059104,,2.9058365168090803,,,0.41128356831040025,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105279_892-cutout.fits,-1.5807374533274683
90,E:/GZ-DESI/images/major-dist\105299_744-cutout.fits,105299_744,59.12049000958223,-43.09008470015075,,2.927538813768127,,,0.3884469096504726,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/105299_744-cutout.fits,-1.8347612330922294
